tpep_dropoff_datetime,tpep_pickup_datetime,dropoff_longitude,dropoff_latitude,pickup_longitude,pickup_latitude,trip_distance,total_amount,tip_amount
2015-09-07 18:42:18,2015-09-06 18:47:24,-73.991416931152344,40.749870300292969,-73.979438781738281,40.763225555419922,1.72,10.3,0
2015-09-07 18:57:34,2015-09-06 18:59:07,-73.95562744140625,40.691791534423828,-73.985603332519531,40.728530883789063,7.00,25.8,0
2015-09-07 18:34:58,2015-09-06 18:48:36,-73.9906005859375,40.7559814453125,-73.99127197265625,40.750068664550781,.70,7.8,0
2015-09-07 18:19:26,2015-09-06 18:51:35,-74.000198364257813,40.732746124267578,-73.993011474609375,40.743000030517578,1.32,7.3,0
2015-09-07 18:49:01,2015-09-06 18:49:52,-74.000030517578125,40.761695861816406,-73.989799499511719,40.757530212402344,.72,5.8,0
2015-09-07 18:54:23,2015-09-06 19:01:10,-73.994949340820312,40.739921569824219,-73.986457824707031,40.722400665283203,1.83,9.3,0
2015-09-07 18:25:41,2015-09-06 19:10:38,-73.913970947265625,40.747898101806641,-73.926399230957031,40.765769958496094,1.83,11.8,0
2015-09-07 19:07:38,2015-09-06 19:08:20,-73.986358642578125,40.738521575927734,-74.005989074707031,40.740020751953125,1.47,8.8,0
2015-09-07 19:19:14,2015-09-06 19:21:11,-73.958305358886719,40.778606414794922,-73.953628540039063,40.785354614257813,.53,4.8,0
2015-09-07 19:10:08,2015-09-06 19:17:58,-73.988838195800781,40.68902587890625,-74.002029418945313,40.745670318603516,4.91,22.56,3.76
2015-09-07 18:06:01,2015-09-06 19:23:56,-73.979255676269531,40.787139892578125,-73.989608764648437,40.733211517333984,5.02,23.5,4.7
2015-09-07 19:18:16,2015-09-06 19:20:57,-73.996231079101563,40.767181396484375,-73.987892150878906,40.759677886962891,.85,7.8,0
2015-09-07 19:34:28,2015-09-06 19:40:42,-74.005775451660156,40.725940704345703,-73.987205505371094,40.749420166015625,2.16,10.3,0
2015-09-07 19:37:42,2015-09-06 19:40:45,-73.985549926757813,40.730110168457031,-74.001754760742188,40.737663269042969,1.25,10.8,0
2015-09-07 19:33:19,2015-09-06 19:34:46,-74.004196166992188,40.751182556152344,-74.006828308105469,40.735683441162109,1.27,8.3,0
2015-09-07 19:27:42,2015-09-06 19:34:54,-73.995521545410156,40.72174072265625,-73.985130310058594,40.746238708496094,2.17,10.8,0
2015-09-07 19:34:43,2015-09-06 19:38:59,-74.005699157714844,40.740348815917969,-73.981544494628906,40.741439819335938,2.00,11.8,0
2015-09-07 20:03:40,2015-09-06 20:05:37,-74.007926940917969,40.705108642578125,-74.015579223632813,40.715679168701172,1.50,8.8,0
2015-09-07 19:49:16,2015-09-06 20:04:35,-73.967239379882813,40.763614654541016,-73.98797607421875,40.749996185302734,1.90,10.8,0
2015-09-07 20:08:06,2015-09-06 20:11:52,-73.978759765625,40.755722045898437,-73.974037170410156,40.764266967773438,.67,6.3,0
2015-09-07 19:50:23,2015-09-06 20:00:56,-73.980560302734375,40.745288848876953,-73.976783752441406,40.754062652587891,.89,7.56,1.26
2015-09-07 19:46:49,2015-09-06 20:00:08,-73.981857299804688,40.767139434814453,-73.97796630859375,40.763271331787109,.60,7.56,1.26
2015-09-07 19:59:34,2015-09-06 20:01:51,-74.003692626953125,40.728477478027344,-73.982292175292969,40.768428802490234,4.78,22.2,2.9
2015-09-07 19:49:30,2015-09-06 20:02:04,-73.979682922363281,40.746391296386719,-73.991462707519531,40.73504638671875,1.29,9.8,0
2015-09-07 19:46:02,2015-09-06 19:57:17,-73.988754272460938,40.763500213623047,-73.950233459472656,40.779888153076172,3.29,15.3,2
2015-09-07 20:21:41,2015-09-06 20:26:04,-73.992622375488281,40.755165100097656,-73.986343383789062,40.766841888427734,1.00,7.82,1.02
